S No,Symptoms
1,(honeycomb) opacities of cornea
2,(Mayer–Rokitansky–Kuster– Hauser syndrome. Testicular feminizing syndrome
3,‘burning’ discomfort in the lesions
4,"‘Daughter yaws’ are multiple lesions that  develop in the secondary stage as the initial lesion heals, and they  occur in successive crops."
5,“swan-neck deformity
6,"“tumor plop,"
7,11ß-Hydroxylase deficiency
8,"1–2 cm nodules and occur most commonly on the labia majora, interlabial sulcus, lateral surfaces of the labia minora or perineal region"
9,"17a Hydroxylase/17,20- lyase deficiency"
10,17-hydroxycorticosteroid
11,"2,4 Dienoyl-CoA Reductase deficiency"
12,"2,4-Dienoyl-CoA reductase"
13,"2,4-Dienoyl-CoA reductase deficency"
14,"21-Hydroxylase deficiency,nonclassic form"
15,2-Aminoadipic acidemia
16,2-Ketoglutarate dehydrogenase complex deficiency 
17,2-Oxoadipic acidemia
18,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
19,3-Hydroxyacyl-CoA dehydrogenase deficiency HADH de
20,3-Hydroxyisobutyric aciduria
21,3-methyl-crotonyl-glycinuria
22,"3-methylglutaconic aciduria type II, X-linked "
23,3-Phosphoglycerate dehydrogenase (3-PGDH) deficiency   
24,"3ß-Hydroxysteroid dehydrogenase deficiency, classi"
25,"3ß-Hydroxysteroid dehydrogenase deficiency, classic form"
26,"46,XY disorders of sex development (Disorders related to androgen excess)"
27,"4-Aminobutyrate aminotransferase deficiency, GABA-"
28,5-nucleotidase deficiency
29,6-pyruvoyl-tetrahydropterin synthase deficiency
30,"A  predilection for the upper limbs is observed, followed by the trunk  and lower limbs. Intraosseous cases have been reported"
31,"A  year or two later, erythematous crusts appear on the pressure- bearing areas of the soles, followed by painful  circumscribed hyperkeratosis"
32,A “rosary” at the costochondral junctions and depression of the sternum
33,"A callus is an ill-defined area of waxy, often yellowish,  thickening over which the dermatoglyphic markings may  become indistinct"
34,"A central papular component is often surrounded by a macular  periphery, so that the naevus resembles a ‘fried egg’ appearance."
35,"a characteristic ‘cobblestone’ appearance of the oral epithelium,  multiple skin tags, squamous papillomas and sclerotic fi bromas  (storiform collagenomas)"
36,"A characteristic feature is the rapid spread, which may be 2–10 mm in 12 h, and the pattern, which may change within an hour, completely resolving and then reappearing."
37,"a coin-shaped  plaque of closely set, thin-walled vesicles on an erythematous base"
38,A collapsed vitreous (synersis)
39,A fi brous painful cord with local preputial inflammation but without skin retraction is seen.
40,"a fi rm, rounded, fl esh-coloured or reddish papule, which may resemble molluscum contagiosum or, if keratotic,  a viral wart"
41,"A fissure develops at the interphalangeal joint which becomes  a fibrous band, that encircles the digit causing necrosis  (Gangrene of little toe)"
42,A full thickness hole is seen as round reddish spot surrounded by a grey halo [cuff of subretinal fluid (SRF)]
43,"A furuncle first presents as a small, follicular, inflammatory nodule, soon becoming pustular and then necrotic"
44,"a heavy, white, curdy discharge, which then leads to a secondary vulvitis with well-demarcated sheets of erythema on the outer  aspects of the vulva"
45,"a history of joint symptoms, Raynaud phenomenon and skin changes"
46,"a history of Raynaud phenomenon, chilblains or poor peripheral circulation is often obtained"
47,A localized erythema or weal and flare reaction caused by contact with a substance where there is no substance-specific immune  response
48,"a maculopapular eruption appears on the wrists  and ankles and soon spreads centrally to the limbs, trunk and face"
49,"A newly formed melanocytic naevus is a junctional naevus, presenting as a uniformly pigmented brown macule, with a diameter of 2-10mm"
50,"A nonhealing ulcer with rolled edges, greyish white  shaggy base and induration"
51,"a parent, sibling, or child with NF2 and either unilateral vestibular schwannoma or any two of the following: meningioma, schwannoma, glioma, neurofibroma, or posterior subcapsular lenticular opacitie"
52,"a patchy ‘housewife’- type eczema affecting principally the dorsa, sides and webs of  the fingers, or a ‘ring’ eczema – both are patterns associated with  wet work and exposure to detergent"
53,"A perianal dermatitis may occur secondary to skin irritation resulting  from faecal leakage, or a contact dermatitis"
54,"A plantar wart at first appears as a small shining ‘sago-grain’ papule, but soon assumes the typical appearance of a sharply defined  rounded lesion, with a rough keratotic surface surrounded by  a sm"
55,"A pruritic solitary lesion with a central keratotic plug, on the head  or neck of middle-aged or elderly persons."
56,"a rash of ""isles of white in the sea of red"""
57,"A red, painful and then ulcerated nodule at the point of inoculation or tick bite is associated with  enlargement and tenderness, and latter with breakdown of the  regional lymph nodes"
58,A retiform pattern within lesions is characteristic
59,a rim of depigmentation appears around a pre-existing  melanocytic naevus
60,"a slightly raised thread-like margin or a ‘whipcord’ edge, which is irregular in outline and may be defi cient at part of the circumference"
61,"A SLN comprises a flat macule on a tan background, often faintly  appearing, and more darkly pigmented lentigo-like lesions or  naevi"
